source_id,title,authors,venue,year,doi_or_id,official_url,source_type,verification_status,topic,agent_level,cache_semantics,dt_semantics,mobility_handoff,dataset_or_system,baselines,metrics,key_result,code_or_data,limitation,ppo_mec_difference
S17,"Digital Twin-Assisted Belief-State Reinforcement Learning for Latency-Robust ISAC in 6G Networks","authors on IEEE Xplore page","IEEE INFOCOM",2026,"10.1109/INFOCOM59046.2026.11571214","https://ieeexplore.ieee.org/abstract/document/11571214/","Peer-reviewed conference","Verified primary","DT belief-state control","PPO controller","none","EKF synchronized belief from delayed telemetry","network mobility context indirect","closed-loop simulations with up to 100 ms delay","DT-only; latency-unaware DRL; heuristics","throughput; sensing error; reliability","reports 12% throughput gain and 7% sensing-error reduction at 50 ms vs DT-only","no public code identified","ISAC not VEC workflow/cache","strong method neighbor for calibrated stale-state DT verifier"
S18,"Punica: Multi-Tenant LoRA Serving","Le Sheng et al.","MLSys",2024,"MLSys-2024-054de805","https://proceedings.mlsys.org/paper_files/paper/2024/hash/054de805fcceb78a201f5e9d53c85908-Abstract-Conference.html","Peer-reviewed conference","Verified primary","multi-LoRA serving","serving scheduler","LoRA adapter batching/pooling","none","none","GPU serving system","LLM serving systems","throughput; latency; memory","establishes adapters as independently schedulable multi-tenant objects","official proceedings","data-center GPU system","provides runtime semantics not VEC trace"
S19,"S-LoRA: Serving Thousands of Concurrent LoRA Adapters","Ying Sheng et al.","MLSys",2024,"MLSys-2024-906419cd","https://proceedings.mlsys.org/paper_files/paper/2024/file/906419cd502575b617cc489a1a696a67-Paper-Conference.pdf","Peer-reviewed conference","Verified primary","scalable LoRA serving","serving scheduler","adapter weights and KV unified paging","none","none","GPU/host-memory serving","multi-LoRA serving baselines","throughput; latency; scale","demonstrates host-to-GPU adapter paging at thousands-adapter scale","paper and project links","no edge mobility","grounds real adapter load/cache costs"
S20,"dLoRA: Dynamically Orchestrating Requests and Adapters for LoRA LLM Serving","Bingyang Wu et al.","USENIX OSDI",2024,"OSDI24-dLoRA","https://www.usenix.org/conference/osdi24/presentation/wu-bingyang","Peer-reviewed conference","Verified primary","adapter orchestration","system scheduler","dynamic adapter merge/unmerge and migration","none","worker migration not mobility","multi-worker LoRA serving","LoRA serving systems","latency; throughput; migration","coordinates requests and adapters under skewed load","artifacts linked from USENIX page","data-center worker migration","nearest system analogy for RSU adapter migration"
S21,"ServerlessLLM: Low-Latency Serverless Inference for Large Language Models","Yinmin Fu et al.","USENIX OSDI",2024,"OSDI24-ServerlessLLM","https://www.usenix.org/conference/osdi24/presentation/fu","Peer-reviewed conference","Verified primary","LLM loading and migration","system scheduler","multi-tier checkpoint cache","serving live migration","worker locality not vehicle mobility","serverless GPU cluster","serverless LLM systems","startup; migration; latency","uses locality-aware scheduling and live migration to reduce cold start","USENIX artifacts","cloud/serverless setting","supports checkpoint locality analogy only"
S22,"CacheGen: KV Cache Compression and Streaming for Fast Language Model Serving","Yuhan Liu et al.","ACM SIGCOMM",2024,"SIGCOMM24-CacheGen","https://www.microsoft.com/en-us/research/publication/cachegen-fast-context-loading-for-language-model-applications-via-kv-cache-streaming/","Peer-reviewed conference","Verified primary","KV-state transport","serving system","compressed streamable KV cache","none","network-aware but not vehicular","LLM serving experiments","recompute and raw transfer baselines","bandwidth; loading latency; quality","shows KV state can be compressed and streamed under bandwidth constraints","publication/project links","KV cache differs from adapter warm state","supports state-transfer cost model with explicit semantic warning"
S23,"Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving","Qingcheng Qin et al.","USENIX FAST",2025,"FAST25-Mooncake","https://www.usenix.org/conference/fast25/presentation/qin","Peer-reviewed conference","Verified primary","KV-centric serving","global scheduler","distributed KV cache","none","none","production-scale traces","LLM serving systems","TTFT; TBT; throughput; SLO","treats KV cache as first-class global scheduling state","USENIX page and artifacts","data-center serving","supports cache-first scheduling not VEC novelty"
S24,"ISO 23247-2:2021 Automation systems and integration — Digital twin framework for manufacturing — Part 2: Reference architecture","ISO/TC 184/SC 4","ISO International Standard",2021,"ISO-23247-2:2021","https://www.iso.org/standard/78743.html","Standard","Verified primary","digital twin architecture","not applicable","none","reference model and functional entities","none","manufacturing reference architecture","not applicable","architecture completeness","defines domain/entity and functional views for DT","standard page","manufacturing scope; not a VEC algorithm","used to prevent overclaiming predictor as full DT"
S25,"ETSI GS MEC 030 V3.1.1 Multi-access Edge Computing; V2X Information Services API","ETSI MEC","ETSI Group Specification",2023,"ETSI-GS-MEC-030-V3.1.1","https://portal.etsi.org/webapp/WorkProgram/Report_WorkItem.asp?WKI_ID=62539","Standard","Verified primary","MEC V2X API","not applicable","none","none","V2X interoperability","multi-vendor multi-network multi-access MEC","not applicable","API interoperability","defines V2X information-service API scope","standard available from work-item page","not a scheduling algorithm","grounds typed capability API and interface assumptions"
S26,"Digital Twins Overview","NVIDIA","NVIDIA Omniverse documentation",2025,"NVIDIA-OMNIVERSE-DT","https://docs.omniverse.nvidia.com/digital-twins/latest/overview.html","Industry evidence","Verified official","live digital twin system","not applicable","simulation assets/state","physically accurate replicas synchronized with real data","automotive and other industries","Omniverse","not applicable","system fidelity and synchronization","documents live synchronized AI-powered digital twins","official documentation","vendor evidence not peer-reviewed performance evidence","industry feasibility only"
